New Privately Owned Housing Units Authorized,,,,,,,,,,,,,,,,
Unadjusted Units by CBSA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
202505,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Current Month,,,,,,,Year to Date,,,,
,,,,,,,,,,,,,,,,
CSA,CBSA,Name,Metro /Micro Code,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More,,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More
999,15780,"Camden, AR                                                  ",5,0,0,0,0,0,0,,2,2,0,0,0,0
999,15820,"Campbellsville, KY                                          ",5,1,1,0,0,0,0,,5,5,0,0,0,0
444,15860,"Cañon City, CO                                              ",5,10,10,0,0,0,0,,46,46,0,0,0,0
427,15900,"Canton, IL                                                  ",5,0,0,0,0,0,0,,3,3,0,0,0,0
184,15940,"Canton-Massillon, OH                                        ",2,55,41,0,3,11,2,,249,181,6,21,41,7
163,15980,"Cape Coral-Fort Myers, FL                                   ",2,1266,762,76,0,428,14,,6612,4502,136,20,1954,48
164,16020,"Cape Girardeau, MO-IL                                       ",2,8,8,0,0,0,0,,33,33,0,0,0,0
166,16060,"Carbondale, IL                                              ",5,1,1,0,0,0,0,,5,5,0,0,0,0
999,16100,"Carlsbad-Artesia, NM                                        ",5,14,14,0,0,0,0,,76,76,0,0,0,0
999,16140,"Carroll, IA                                                 ",5,2,2,0,0,0,0,,13,13,0,0,0,0
456,16180,"Carson City, NV                                             ",2,19,19,0,0,0,0,,339,114,0,0,225,6
999,16220,"Casper, WY                                                  ",4,37,37,0,0,0,0,,110,110,0,0,0,0
999,16260,"Cedar City, UT                                              ",5,53,53,0,0,0,0,,298,298,0,0,0,0
168,16300,"Cedar Rapids, IA                                            ",2,56,50,6,0,0,0,,222,159,36,3,24,2
122,16340,"Cedartown, GA                                               ",5,7,7,0,0,0,0,,53,53,0,0,0,0
338,16380,"Celina, OH                                                  ",5,3,3,0,0,0,0,,24,24,0,0,0,0
476,16460,"Centralia, IL                                               ",5,3,0,0,3,0,0,,5,2,0,3,0,0
500,16500,"Centralia, WA                                               ",5,35,35,0,0,0,0,,197,157,4,36,0,0
548,16540,"Chambersburg, PA                                            ",2,66,48,0,7,11,2,,443,318,68,7,50,5
169,16580,"Champaign-Urbana, IL                                        ",2,39,31,0,0,8,1,,311,117,4,0,190,5
170,16620,"Charleston, WV                                              ",2,14,12,2,0,0,0,,64,62,2,0,0,0
999,16660,"Charleston-Mattoon, IL                                      ",5,6,1,0,0,5,1,,7,2,0,0,5,1
999,16700,"Charleston-North Charleston, SC                             ",4,749,634,4,11,100,11,,3579,2779,32,102,666,77
172,16740,"Charlotte-Concord-Gastonia, NC-SC                           ",2,1571,1526,8,0,37,5,,10447,7846,54,0,2547,72
999,16820,"Charlottesville, VA                                         ",4,136,102,0,0,34,3,,600,478,2,9,111,12
174,16860,"Chattanooga, TN-GA                                          ",2,260,187,16,15,42,6,,1281,987,46,53,195,17
999,16940,"Cheyenne, WY                                                ",4,41,27,0,4,10,2,,191,140,2,39,10,2
176,16980,"Chicago-Naperville-Elgin, IL-IN                             ",2,1964,850,38,26,1050,29,,6241,3710,130,226,2175,113
999,17020,"Chico, CA                                                   ",4,125,58,6,0,61,1,,460,282,14,0,164,3
198,17060,"Chillicothe, OH                                             ",5,2,2,0,0,0,0,,11,9,2,0,0,0
178,17140,"Cincinnati, OH-KY-IN                                        ",2,584,436,16,0,132,10,,3160,1870,122,64,1104,57
242,17220,"Clarksburg, WV                                              ",5,13,13,0,0,0,0,,59,45,2,0,12,1
368,17260,"Clarksdale, MS                                              ",5,3,3,0,0,0,0,,11,11,0,0,0,0
999,17300,"Clarksville, TN-KY                                          ",4,303,157,6,8,132,11,,1619,869,18,24,708,64
999,17340,"Clearlake, CA                                               ",5,9,4,0,0,5,1,,35,20,0,0,15,3
999,17380,"Cleveland, MS                                               ",5,2,2,0,0,0,0,,6,6,0,0,0,0
184,17410,"Cleveland, OH                                               ",2,413,286,0,0,127,6,,1340,1156,0,26,158,12
174,17420,"Cleveland, TN                                               ",2,85,85,0,0,0,0,,464,442,2,20,0,0
163,17500,"Clewiston, FL                                               ",5,46,46,0,0,0,0,,296,296,0,0,0,0
209,17540,"Clinton, IA                                                 ",5,10,3,2,0,5,1,,41,18,8,0,15,3
999,17580,"Clovis, NM                                                  ",5,2,2,0,0,0,0,,30,12,18,0,0,0
999,17650,"Cody, WY                                                    ",5,21,19,2,0,0,0,,67,65,2,0,0,0
518,17660,"Coeur dAlene, ID                                            ",2,151,133,4,3,11,1,,721,496,24,9,192,11
999,17740,"Coldwater, MI                                               ",5,4,4,0,0,0,0,,16,16,0,0,0,0
999,17780,"College Station-Bryan, TX                                   ",4,191,191,0,0,0,0,,850,812,38,0,0,0
999,17820,"Colorado Springs, CO                                        ",4,685,297,0,0,388,7,,2264,1300,94,0,870,16
190,17860,"Columbia, MO                                                ",2,123,61,12,0,50,1,,356,287,16,3,50,1
192,17900,"Columbia, SC                                                ",2,530,528,2,0,0,0,,2271,2081,36,154,0,0
194,17980,"Columbus, GA-AL                                             ",2,51,51,0,0,0,0,,272,257,0,0,15,3
294,18020,"Columbus, IN                                                ",2,22,22,0,0,0,0,,81,77,4,0,0,0
523,18060,"Columbus, MS                                                ",5,9,9,0,0,0,0,,57,57,0,0,0,0
999,18100,"Columbus, NE                                                ",5,9,5,4,0,0,0,,302,46,6,16,234,5
198,18140,"Columbus, OH                                                ",2,2292,487,4,19,1782,66,,7460,2351,70,276,4763,161
148,18180,"Concord, NH                                                 ",5,26,23,0,3,0,0,,91,85,0,6,0,0
458,18220,"Connersville, IN                                            ",5,0,0,0,0,0,0,,4,4,0,0,0,0
999,18260,"Cookeville, TN                                              ",5,31,27,4,0,0,0,,292,288,4,0,0,0
999,18300,"Coos Bay-North Bend, OR                                     ",5,10,8,2,0,0,0,,50,38,4,3,5,1
371,18340,"Corbin, KY                                                  ",5,8,1,4,3,0,0,,47,6,14,6,21,2
999,18380,"Cordele, GA                                                 ",5,2,2,0,0,0,0,,11,11,0,0,0,0
539,18420,"Corinth, MS                                                 ",5,2,2,0,0,0,0,,8,8,0,0,0,0
122,18460,"Cornelia, GA                                                ",5,63,63,0,0,0,0,,149,141,0,3,5,1
236,18500,"Corning, NY                                                 ",5,14,14,0,0,0,0,,63,63,0,0,0,0
204,18580,"Corpus Christi, TX                                          ",2,199,187,2,0,10,2,,1189,1045,10,4,130,11
206,18620,"Corsicana, TX                                               ",5,39,39,0,0,0,0,,218,212,6,0,0,0
296,18660,"Cortland, NY                                                ",5,2,2,0,0,0,0,,12,9,0,3,0,0
440,18700,"Corvallis, OR                                               ",2,9,9,0,0,0,0,,38,34,0,4,0,0
184,18740,"Coshocton, OH                                               ",5,0,0,0,0,0,0,,2,2,0,0,0,0
294,18820,"Crawfordsville, IN                                          ",5,12,12,0,0,0,0,,40,36,4,0,0,0
152,18860,"Crescent City, CA                                           ",5,26,2,0,0,24,1,,52,7,2,0,43,2
999,18880,"Crestview-Fort Walton Beach-Destin, FL                      ",4,394,224,2,0,168,6,,1895,984,46,0,865,44
999,18900,"Crossville, TN                                              ",5,7,7,0,0,0,0,,47,47,0,0,0,0
142,18980,"Cullman, AL                                                 ",5,14,14,0,0,0,0,,86,86,0,0,0,0
999,19060,"Cumberland, MD-WV                                           ",5,9,4,0,0,5,1,,38,31,2,0,5,1
206,19100,"Dallas-Fort Worth-Arlington, TX                             ",2,5201,3769,128,252,1052,58,,29030,18970,640,593,8827,405
174,19140,"Dalton, GA                                                  ",2,45,33,4,3,5,1,,232,181,24,12,15,3
169,19180,"Danville, IL                                                ",5,1,1,0,0,0,0,,4,4,0,0,0,0
999,19220,"Danville, KY                                                ",5,22,22,0,0,0,0,,91,91,0,0,0,0
999,19260,"Danville, VA                                                ",5,8,8,0,0,0,0,,37,37,0,0,0,0
380,19300,"Daphne-Fairhope-Foley, AL                                   ",2,298,288,0,0,10,1,,1234,1167,4,0,63,3
209,19340,"Davenport-Moline-Rock Island, IA-IL                         ",2,64,49,4,4,7,1,,203,150,12,19,22,4
212,19430,"Dayton-Kettering-Beavercreek, OH                            ",2,182,143,2,3,34,2,,781,540,8,49,184,16
290,19460,"Decatur, AL                                                 ",2,11,11,0,0,0,0,,104,104,0,0,0,0
999,19500,"Decatur, IL                                                 ",4,3,3,0,0,0,0,,10,10,0,0,0,0
258,19540,"Decatur, IN                                                 ",5,7,7,0,0,0,0,,26,26,0,0,0,0
999,19580,"Defiance, OH                                                ",5,4,4,0,0,0,0,,13,13,0,0,0,0
999,19620,"Del Rio, TX                                                 ",5,7,7,0,0,0,0,,33,33,0,0,0,0
